Description,Location,Founded Year,Stage,Employee Count,Sector (Practice Area & Feed),Country,Cohort,Total Funding (USD; In Millions),Valuation (USD; In Millions),Annual Revenue (USD; In Millions),AI_Firm_Status,Age,,,,,,
AI-powered platform offering online banking solutions,Gurugram,2019,Series A,34,FinTech > Banking Tech,India,2016-2020,7.15,25.02,0.79,AI Firm,6,,,,,,
Provider of a cloud-based comprehensive platform that streamlines business processes.,Bengaluru,2019,Seed,26,FinTech > Finance & Accounting Tech,India,2016-2020,1.2,7.66,0.27,AI Firm,6,,,,,,
Developer of blockchain-based traceability solutions for the agricultural supply chain,Hyderabad,2019,Seed,71,"Enterprise Applications > SCM Software,
Enterprise Applications > GRC Software",India,2016-2020,1.01,13.59,0.23,AI Firm,6,,,,,,
"Provider of AI-powered penetration testing, red teaming, and attack surface management","Bengaluru,
Wilmington",2019,Series A,47,Enterprise Infrastructure > Cybersecurity,"India,
United States",2016-2020,9.87,17.79,1.17,AI Firm,6,,,,,,
Provider of vehicle telematics solutions for connected vehicles,Bengaluru,2019,Seed,14,"High Tech > IoT Applications,
Internet of Things - Industry Applications > IoT Applications,
Internet of Things - Industry Applications > Connected Vehicles,
Auto Tech > Connected Vehicles,
Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,3.25,3,1.28,Non-AI Firm,6,,,,,,
Provider of supply chain solutions for the dairy industry,Gurugram,2019,Seed,40,"High Tech > IoT Applications,
Internet of Things - Industry Applications > IoT Applications,
Food and Agriculture Tech > Livestock Tech,
Food and Agriculture Tech > Food Tech",India,2016-2020,1.85,9.24,0.99,AI Firm,6,,,,,,
Internet first brand offering organic multi-category beauty products,Gurugram,2019,Seed,12,"Consumer Goods > Beauty & Personal Care Products,
Retail > Beauty Tech",India,2016-2020,3.57,25.83,0.36,Non-AI Firm,6,,,,,,
Online coding and math classes for children aged 6-18,Mumbai,2019,Series A,14,EdTech > K-12 EdTech,India,2016-2020,1.97,16.26,0.66,Non-AI Firm,6,,,,,,
EV charging station operators,Pune,2019,Series A,20,"Energy Tech > Energy Storage Tech,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,10,15.55,0.3,Non-AI Firm,6,,,,,,
Provider of AI development and data analytics services,Mumbai,2019,Seed,17,"Enterprise Applications > Robotic Process Automation,
High Tech > Chatbots,
FinTech > Banking Tech,
FinTech > Insurance IT,
InsurTech > Insurance IT,
Enterprise Applications > Customer Service Software,
Enterprise Applications > MarketingTech,
Enterprise Applications > GRC Software",India,2016-2020,1.02,4.1,0.09,AI Firm,6,,,,,,
Platform offering sports data analysis,Gurugram,2019,Series A,69,Consumer > Sports Tech,India,2016-2020,4.38,11.59,0.9,Non-AI Firm,6,,,,,,
Digital platform for employees with financial and health benefits,Mumbai,2019,Seed,35,"Enterprise Applications > HRTech,
HealthTech > Employee Health IT",India,2016-2020,1.66,3.51,0.47,Non-AI Firm,6,,,,,,
Online platform offering a variety of footwear,Mumbai,2019,Seed,26,"Consumer > Fashion Tech,
Retail > Fashion Tech",India,2016-2020,3.65,7.38,0.67,Non-AI Firm,6,,,,,,
Provider of electric vehicles for last-mile delivery and hyperlocal operations,Gurugram,2019,Seed,32,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
Retail > E-Commerce Enablers",India,2016-2020,5.6,3.24,1.89,Non-AI Firm,6,,,,,,
AI-driven hardware and software solutions for controlling drones,Bengaluru,2019,Seed,17,"High Tech > Drones,
Aerospace, Maritime and Defense Tech > Drones",India,2016-2020,1.24,4.35,0.19,AI Firm,6,,,,,,
Internet first brand offering multi-category footwear for kids,Pune,2019,Seed,77,"Retail > Mom & Baby Care,
Consumer > Fashion Tech,
Retail > Fashion Tech",India,2016-2020,1.29,7.67,0.75,Non-AI Firm,6,,,,,,
Provider of a healthcare payment integrity platform,"San Francisco,
Bengaluru",2020,Seed,69,"FinTech > Payments,
HealthTech > Healthcare IT","United States,
India",2016-2020,8.95,0.93,0,Non-AI Firm,5,,,,,,
"Manufacturer of specialty construction, agricultural, and infrastructure machinery",Hyderabad,2020,Seed,100,"Real Estate and Construction Tech > Construction Tech,
Retail > B2B E-Commerce,
Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech",India,2016-2020,1.8,5.95,1.4,Non-AI Firm,5,,,,,,
Provider of ad analytics solutions,Mumbai,2020,Seed,14,Enterprise Applications > AdTech,India,2016-2020,7.3,6.85,1.4,Non-AI Firm,5,,,,,,
Platform connecting job seekers with employers,Delhi,2020,Series A,37,Enterprise Applications > HRTech,India,2016-2020,3.56,10.36,0.48,Non-AI Firm,5,,,,,,
Provider of electric bike subscription and leasing services,Hyderabad,2020,Seed,24,"Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles,
Consumer > Auto E-Commerce & Content,
Auto Tech > Auto E-Commerce & Content",India,2016-2020,7.81,12.18,1.43,Non-AI Firm,5,,,,,,
Provider of SaaS-based storefront solutions for e-commerce businesses,Hyderabad,2020,Series A,22,"Retail > E-Commerce Enablers,
Retail > Social Commerce",India,2016-2020,7.81,6.25,0.04,Non-AI Firm,5,,,,,,
Cloud-based background verification solution for enterprises,Hyderabad,2020,Seed,60,Enterprise Applications > HRTech,India,2016-2020,1.33,1.61,0,Non-AI Firm,5,,,,,,
Online platform to hire a cook for homes,Gurugram,2020,Series A,50,"Food and Agriculture Tech > Food Tech,
Consumer > Local Services,
Unbundling of Craigslist > Local Services",India,2016-2020,4.15,11.1,0.14,Non-AI Firm,5,,,,,,
Goal-based savings platform for individuals,Bengaluru,2020,Seed,34,FinTech > Investment Tech,India,2016-2020,5.46,10.47,0.06,Non-AI Firm,5,,,,,,
Provider of retail store aggregating solution for businesses,Bengaluru,2020,Seed,10,"Retail > Brands Tech,
Retail > In Store Retail Tech",India,2016-2020,1.71,7.66,0.01,AI Firm,5,,,,,,
Provider of life and general insurance products via a direct brokerage model,Hyderabad,2020,Seed,2,"FinTech > Internet First Insurance Platforms,
InsurTech > Internet First Insurance Platforms",India,2016-2020,5.22,5.22,1.83,Non-AI Firm,5,,,,,,
Manufacturer of AI accelerator chips and SoCs,Thiruvananthapuram,2020,Seed,53,"Semiconductors > Digital ICs,
High Tech > Edge Computing,
Internet of Things - Industry Applications > Edge Computing,
High Tech > Native AI Infrastructure,
Native AI > Native AI Infrastructure",India,2016-2020,2.19,10.95,0.21,AI Firm,5,,,,,,
Provider of an AI-based robotic virtual assistant for multiple applications,Bengaluru,2020,Seed,12,"High Tech > Chatbots,
Enterprise Applications > Customer Service Software,
Enterprise Applications > Customer Success Management",India,2016-2020,1.37,3.22,0.5,AI Firm,5,,,,,,
Digital network platform that connects healthcare providers with insurers,Bengaluru,2020,Seed,11,"HealthTech > Healthcare Payer Tech,
HealthTech > Healthcare IT,
HealthTech > Healthcare Booking Platforms,
FinTech > Payments",India,2016-2020,1.85,4.56,0.31,Non-AI Firm,5,,,,,,
Checkout payment management solution for businesses,Mumbai,2020,Seed,39,"FinTech > Payments,
Retail > E-Commerce Enablers,
FinTech > RegTech",India,2016-2020,7.12,20.6,0.3,Non-AI Firm,5,,,,,,
Online AI based health monitoring and wellness benefits platform for employees and individuals,Mumbai,2020,Series A,146,"FinTech > Internet First Insurance Platforms,
InsurTech > Internet First Insurance Platforms,
HealthTech > Healthcare Payer Tech",India,2016-2020,6.41,23.12,0.99,AI Firm,5,,,,,,
Application based platform offering mobile CRM,Bengaluru,2020,Seed,36,"Enterprise Applications > Sales Force Automation,
Enterprise Applications > MarketingTech",India,2016-2020,4.09,10.27,0.13,Non-AI Firm,5,,,,,,
Internet first brand of organic grocery products,Gurugram,2020,Seed,11,Food and Agriculture Tech > Online Grocery,India,2016-2020,1.2,6.3,0.37,Non-AI Firm,5,,,,,,
Provider of short-form educational videos on diverse subjects,Bengaluru,2020,Series A,39,"Media & Entertainment > OTT Video,
EdTech > Continued Learning",India,2016-2020,14.28,39.81,1.55,Non-AI Firm,5,,,,,,
Online employee health benefits platform for businesses,Bengaluru,2020,Series A,113,"FinTech > Employer Insurance,
InsurTech > Employer Insurance,
Enterprise Applications > HRTech,
HealthTech > Employee Health IT",India,2016-2020,11,41.08,1.57,Non-AI Firm,5,,,,,,
Platform offering medical insurance claims support solutions,Gurugram,2020,Series A,98,"FinTech > Internet First Insurance Platforms,
InsurTech > Internet First Insurance Platforms",India,2016-2020,8.24,22.68,1.08,AI Firm,5,,,,,,
E-commerce fulfillment operations and same-day delivery solutions,Bengaluru,2020,Series A,136,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
Retail > E-Commerce Enablers,
Retail > Brands Tech",India,2016-2020,9.96,18.52,2.74,Non-AI Firm,5,,,,,,
AI-based employee background verification platform for enterprises,Delhi,2020,Seed,48,"Enterprise Applications > HRTech,
High Tech > Generative AI,
Native AI > Generative AI",India,2016-2020,1.04,14.94,0.43,AI Firm,5,,,,,,
Digital marketplace for capex procurement and vendor management for the manufacturing industry,Bengaluru,2020,Series A,70,"Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech,
Retail > B2B E-Commerce",India,2016-2020,11.36,30.93,0.63,Non-AI Firm,5,,,,,,
Provider of verified domestic help and care services,Delhi,2020,Seed,15,"Consumer > Local Services,
Unbundling of Craigslist > Local Services,
Consumer > Professional Consumer Services",India,2016-2020,1.1,4.47,0.51,Non-AI Firm,5,,,,,,
"Wholesaler of menstrual kits, sanitary pads & organic tampons",Hyderabad,2020,Seed,67,Retail > Wholesalers,India,2016-2020,1.88,6.23,0.58,Non-AI Firm,5,,,,,,
Manufacturer of sustainable energy storage solutions,Hyderabad,2020,Seed,45,Energy Tech > Energy Storage Tech,India,2016-2020,8.83,19.45,0.2,AI Firm,5,,,,,,
Provider of App-based content creation platform for e-commerce businesses,Delhi,2020,Seed,73,"Retail > Influencer E-Commerce,
Retail > Video Commerce,
Retail > E-Commerce Enablers,
Retail > Social Commerce",India,2016-2020,5.54,17.62,1.83,Non-AI Firm,5,,,,,,
AI-enabled SaaS platform,Noida,2020,Seed,1,FinTech > Alternative Lending,India,2016-2020,2.04,9.67,0.04,AI Firm,5,,,,,,
"Platform offering investments in bonds, secured debt instruments, and fixed deposits",Gurugram,2020,Series B,110,FinTech > Investment Tech,India,2016-2020,14.25,38.54,0.79,Non-AI Firm,5,,,,,,
Internet first brand offering health nutrition products,Delhi,2020,Seed,10,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
HealthTech > Fitness & Wellness Tech,
Food and Agriculture Tech > Online Grocery",India,2016-2020,3.37,11.48,0.53,Non-AI Firm,5,,,,,,
Offers a digital devotional platform for temples and gurus to provide at home pooja services,Noida,2020,Seed,11,"Consumer > Religion Tech,
Consumer > Local Services,
Unbundling of Craigslist > Local Services",India,2016-2020,1.59,4.53,0.75,Non-AI Firm,5,,,,,,
Provider of microbe-based milk products and alternatives,Surat,2020,Seed,10,"Food and Agriculture Tech > Food Tech,
Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products",India,2016-2020,4.3,10.68,0.2,Non-AI Firm,5,,,,,,
Manufacturer of electric cargo bikes,Pune,2020,Seed,5,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles","India,
India",2016-2020,1.2,2.16,0.01,Non-AI Firm,5,,,,,,
Provider of online coding education and placement assistance,Gurugram,2020,Seed,2,EdTech > Continued Learning,India,2016-2020,1.53,12.08,0.96,Non-AI Firm,5,,,,,,
"AI based writing tool for story, narratives and scripts",Gurugram,2020,Seed,16,"Media & Entertainment > Tech for Film & TV,
High Tech > Generative AI,
Native AI > Generative AI,
Media & Entertainment > Tech for Digital Publishers",India,2016-2020,5.99,13.82,1.51,AI Firm,5,,,,,,
"Recycler of end-of-life lithium-ion batteries, producing black mass and critical minerals",Gurugram,2020,Seed,47,"Environment Tech > Solid Waste Management Tech,
Sustainability Tech > Solid Waste Management Tech,
Energy Tech > Energy Storage Tech",India,2016-2020,6.96,26.48,2.84,Non-AI Firm,5,,,,,,
Online e-commerce platform for smart toys,Pune,2020,Seed,117,Retail > Mom & Baby Care,India,2016-2020,8.2,21.48,2.18,Non-AI Firm,5,,,,,,
Online platform offering spiritual and religious services for Hindus,Delhi,2020,Seed,38,"Consumer > Religion Tech,
Consumer > Local Services,
Unbundling of Craigslist > Local Services",India,2016-2020,4.86,11.48,1.16,Non-AI Firm,5,,,,,,
Provider of unified endpoint management and security solutions,Bengaluru,2020,Seed,1,Enterprise Infrastructure > Cybersecurity,India,2016-2020,1.06,4.83,0.03,Non-AI Firm,5,,,,,,
Solution for retail and restaurant operations,Bengaluru,2020,Seed,43,"Enterprise Applications > Enterprise Resource Planning,
Retail > In Store Retail Tech,
Food and Agriculture Tech > Food Tech",India,2016-2020,1.27,6.33,0.31,AI Firm,5,,,,,,
Comprehensive platform for individual offering stock trading and investing courses,Gurugram,2020,Seed,15,"EdTech > Continued Learning,
FinTech > Investment Tech",India,2016-2020,1.78,4.91,0.11,Non-AI Firm,5,,,,,,
Online brand offering organic menstrual hygiene products,Hyderabad,2020,Seed,67,"Retail > Beauty Tech,
Consumer Goods > Beauty & Personal Care Products",India,2016-2020,2.39,5.61,0.58,Non-AI Firm,5,,,,,,
Loan life cycle management solutions for financial institutions,Mumbai,2020,Seed,30,FinTech > Alternative Lending,India,2016-2020,1.24,4.64,0.38,Non-AI Firm,5,,,,,,
Developer of AI-based platform for antibody discovery and therapeutics,Bengaluru,2020,Seed,17,"HealthTech > Life Sciences Tech,
Life Sciences > Life Sciences Tech",India,2016-2020,1.45,4.34,0.05,AI Firm,5,,,,,,
Mobile-based platform providing coding-related learning solutions,Gurugram,2020,Seed,1,EdTech > K-12 EdTech,India,2016-2020,1.01,3.67,0.01,Non-AI Firm,5,,,,,,
Online platform offering learning solutions for professionals,Bengaluru,2020,Seed,52,EdTech > Continued Learning,India,2016-2020,2.7,16.42,3.15,Non-AI Firm,5,,,,,,
Subscription-based payday loans for blue-collar workers,Bengaluru,2020,Series A,117,"FinTech > Alternative Lending,
Enterprise Applications > HRTech",India,2016-2020,9.02,34.66,0.86,Non-AI Firm,5,,,,,,
Online platform providing of home furnishings and decor,Jodhpur,2020,Seed,11,Retail > Home Improvements,India,2016-2020,5.36,24.73,1.81,Non-AI Firm,5,,,,,,
Retailer offering organic multi-category beauty products,Delhi,2020,Series A,13,Retail > Beauty Tech,India,2016-2020,12,21.02,2.1,AI Firm,5,,,,,,
AI-based product information and catalog management,Bengaluru,2020,Seed,17,"Retail > E-Commerce Enablers,
Consumer > Fashion Tech,
Retail > Fashion Tech,
High Tech > Generative AI,
Native AI > Generative AI,
Retail > Brands Tech",India,2016-2020,1.28,5.81,0.1,AI Firm,5,,,,,,
"B2B SaaS platform for interior designers, architects, contractors, and panel processing factories",Bengaluru,2020,Series A,46,"Real Estate and Construction Tech > Construction Tech,
Retail > Home Improvements",India,2016-2020,2.59,7.44,3.22,Non-AI Firm,5,,,,,,
Social platform for creating community chat forums,Gurugram,2020,Seed,3,"Consumer > Social Platforms,
Media & Entertainment > Social Platforms",India,2016-2020,2.64,6.07,0.1,Non-AI Firm,5,,,,,,
Internet first brand offering multi category healthy products,Jaipur,2020,Seed,131,"Food and Agriculture Tech > Online Grocery,
Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products",India,2016-2020,3.18,10.48,1.77,Non-AI Firm,5,,,,,,
Provider of electric retrofitting of two-wheeler gearless scooters,Bengaluru,2020,Seed,28,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,1.95,12.74,1.01,Non-AI Firm,5,,,,,,
Online platform offering data aggregation solutions,Bengaluru,2020,Seed,1,FinTech > Banking Tech,India,2016-2020,2.1,5.18,0.33,Non-AI Firm,5,,,,,,
Finance and e-commerce platform,Delhi,2020,Seed,3,"Retail > In Store Retail Tech,
FinTech > Alternative Lending,
FinTech > Payments",India,2016-2020,1.78,8.12,2.67,Non-AI Firm,5,,,,,,
Online platform offering multi-category innerwears and swim suite for both mena nd women,Ahmedabad,2020,Seed,16,"Consumer > Fashion Tech,
Retail > Fashion Tech,
Consumer Goods > Apparel Brands",India,2016-2020,1.85,5.18,1.12,Non-AI Firm,5,,,,,,
,India,2020,Seed,1,Food and Agriculture Tech > Online Grocery,India,2016-2020,3.87,7.83,0.95,Non-AI Firm,5,,,,,,
Provider of online co-curricular learning programs for children,Bengaluru,2020,Series A,17,EdTech > K-12 EdTech,India,2016-2020,2.38,11.05,0.03,Non-AI Firm,5,,,,,,
